video_path,label
archive/train\Salam aleikum\WIN_20240518_17_25_57_Pro.mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 1 (1).mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 1 (2).mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 1.mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 2 (1).mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 2 (2).mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 2.mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 3 (1).mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 3 (2).mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم 3.mp4,Salam aleikum
archive/train\Salam aleikum\السلام عليكم.mp4,Salam aleikum
archive/train\Sorry\Copy of sorry 1 (1).mp4,Sorry
archive/train\Sorry\Copy of sorry 1 (2).mp4,Sorry
archive/train\Sorry\Copy of sorry 1 (3).mp4,Sorry
archive/train\Sorry\Copy of sorry 1.mp4,Sorry
archive/train\Sorry\Copy of sorry 2 (1).mp4,Sorry
archive/train\Sorry\Copy of sorry 2 (2).mp4,Sorry
archive/train\Sorry\Copy of sorry 2 (3).mp4,Sorry
archive/train\Sorry\Copy of sorry 2.mp4,Sorry
archive/train\Sorry\Copy of اسف (1).mp4,Sorry
archive/train\Sorry\Copy of اسف (2).mp4,Sorry
archive/train\Sorry\Copy of اسف (3).mp4,Sorry
archive/train\Sorry\Copy of اسف 1 (1) (1).mp4,Sorry
archive/train\Sorry\Copy of اسف 1 (1) (2).mp4,Sorry
archive/train\Sorry\Copy of اسف 1 (1) (3).mp4,Sorry
archive/train\Sorry\Copy of اسف 1 (1).mp4,Sorry
archive/train\Sorry\Copy of اسف 1 (2).mp4,Sorry
archive/train\Sorry\Copy of اسف 1 (3).mp4,Sorry
archive/train\Sorry\Copy of اسف 1 (4).mp4,Sorry
archive/train\Sorry\Copy of اسف 1.mp4,Sorry
archive/train\Sorry\Copy of اسف 2 (1) (1).mp4,Sorry
archive/train\Sorry\Copy of اسف 2 (1) (2).mp4,Sorry
archive/train\Sorry\Copy of اسف 2 (1) (3).mp4,Sorry
archive/train\Sorry\Copy of اسف 2 (1).mp4,Sorry
archive/train\Sorry\Copy of اسف 2 (2).mp4,Sorry
archive/train\Sorry\Copy of اسف 2 (3).mp4,Sorry
archive/train\Sorry\Copy of اسف 2 (4).mp4,Sorry
archive/train\Sorry\Copy of اسف 2.mp4,Sorry
archive/train\Sorry\Copy of اسف 3 (1).mp4,Sorry
archive/train\Sorry\Copy of اسف 3 (2).mp4,Sorry
archive/train\Sorry\Copy of اسف 3 (3).mp4,Sorry
archive/train\Sorry\Copy of اسف 3.mp4,Sorry
archive/train\Sorry\Copy of اسف.mp4,Sorry
archive/train\Sorry\sorry 1.mp4,Sorry
archive/train\Sorry\sorry 2.mp4,Sorry
archive/train\Sorry\اسف 1 (1).mp4,Sorry
archive/train\Sorry\اسف 1.mp4,Sorry
archive/train\Sorry\اسف 2 (1).mp4,Sorry
archive/train\Sorry\اسف 2.mp4,Sorry
archive/train\Sorry\اسف 3.mp4,Sorry
archive/train\Sorry\اسف.mp4,Sorry
archive/train\Thanks\Copy of thanks1 (1).mp4,Thanks
archive/train\Thanks\Copy of thanks1.mp4,Thanks
archive/train\Thanks\Copy of thanks2 (1).mp4,Thanks
archive/train\Thanks\Copy of thanks2.mp4,Thanks
archive/train\Thanks\Copy of WIN_20240518_17_46_14_Pro (1).mp4,Thanks
archive/train\Thanks\Copy of WIN_20240518_17_46_14_Pro.mp4,Thanks
archive/train\Thanks\Copy of WIN_20240518_17_46_22_Pro (1).mp4,Thanks
archive/train\Thanks\Copy of WIN_20240518_17_46_22_Pro.mp4,Thanks
archive/train\Thanks\Copy of شكرا (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 1 (1) (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 1 (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 1 (2) (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 1 (2).mp4,Thanks
archive/train\Thanks\Copy of شكرا 1 (3).mp4,Thanks
archive/train\Thanks\Copy of شكرا 1.mp4,Thanks
archive/train\Thanks\Copy of شكرا 2 (1) (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 2 (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 2 (2) (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 2 (2).mp4,Thanks
archive/train\Thanks\Copy of شكرا 2 (3).mp4,Thanks
archive/train\Thanks\Copy of شكرا 2.mp4,Thanks
archive/train\Thanks\Copy of شكرا 3 (1) (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 3 (1).mp4,Thanks
archive/train\Thanks\Copy of شكرا 3 (2).mp4,Thanks
archive/train\Thanks\Copy of شكرا 3.mp4,Thanks
archive/train\Thanks\Copy of شكرا.mp4,Thanks
archive/train\Thanks\thanks1.mp4,Thanks
archive/train\Thanks\thanks2.mp4,Thanks
archive/train\Thanks\WIN_20240518_17_46_14_Pro.mp4,Thanks
archive/train\Thanks\WIN_20240518_17_46_22_Pro.mp4,Thanks
archive/train\Thanks\شكرا 1 (1).mp4,Thanks
archive/train\Thanks\شكرا 1 (2).mp4,Thanks
archive/train\Thanks\شكرا 1.mp4,Thanks
archive/train\Thanks\شكرا 2 (1).mp4,Thanks
archive/train\Thanks\شكرا 2 (2).mp4,Thanks
archive/train\Thanks\شكرا 2.mp4,Thanks
archive/train\Thanks\شكرا 3 (1).mp4,Thanks
archive/train\Thanks\شكرا 3 (2).mp4,Thanks
archive/train\Thanks\شكرا 3.mp4,Thanks
archive/train\Thanks\شكرا.mp4,Thanks
